id,runtime,title,release_year
862,81.0,Toy Story,1995
8844,104.0,Jumanji,1995
15602,101.0,Grumpier Old Men,1995
31357,127.0,Waiting to Exhale,1995
11862,106.0,Father of the Bride Part II,1995
949,170.0,Heat,1995
11860,127.0,Sabrina,1995
45325,97.0,Tom and Huck,1995
9091,106.0,Sudden Death,1995
710,130.0,GoldenEye,1995
9087,106.0,The American President,1995
12110,88.0,Dracula: Dead and Loving It,1995
21032,78.0,Balto,1995
10858,192.0,Nixon,1995
1408,119.0,Cutthroat Island,1995
524,178.0,Casino,1995
4584,136.0,Sense and Sensibility,1995
5,98.0,Four Rooms,1995
9273,90.0,Ace Ventura: When Nature Calls,1995
11517,103.0,Money Train,1995
8012,105.0,Get Shorty,1995
1710,124.0,Copycat,1995
9691,132.0,Assassins,1995
12665,111.0,Powder,1995
451,112.0,Leaving Las Vegas,1995
16420,123.0,Othello,1995
9263,100.0,Now and Then,1995
17015,104.0,Persuasion,1995
902,108.0,The City of Lost Children,1995
37557,108.0,Shanghai Triad,1995
9909,99.0,Dangerous Minds,1995
63,129.0,Twelve Monkeys,1995
78802,50.0,Wings of Courage,1996
9598,89.0,Babe,1995
47018,121.0,Carrington,1995
687,122.0,Dead Man Walking,1995
139405,51.0,Across the Sea of Time,1995
33689,101.0,It Takes Two,1995
9603,97.0,Clueless,1995
34615,106.0,"Cry, the Beloved Country",1995
31174,104.0,Richard III,1995
11443,119.0,Dead Presidents,1995
35196,117.0,Restoration,1995
9312,101.0,Mortal Kombat,1995
577,106.0,To Die For,1995
11861,116.0,How To Make An American Quilt,1995
807,127.0,Se7en,1995
10530,81.0,Pocahontas,1995
8391,96.0,When Night Is Falling,1995
629,106.0,The Usual Suspects,1995
117164,93.0,Guardian Angel,1994
11448,95.0,Mighty Aphrodite,1995
49133,116.0,Lamerica,1994
26441,100.0,The Big Green,1995
97406,115.0,Georgia,1995
124057,89.0,Kids of the Round Table,1997
9089,103.0,Home for the Holidays,1995
11010,108.0,The Postman,1994
99040,100.0,The Confessional,1995
11359,96.0,The Indian in the Cupboard,1995
17182,101.0,Eye for an Eye,1996
2054,137.0,Mr. Holland's Opus,1995
10607,89.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996
19760,96.0,Two If by Sea,1996
9536,88.0,Bio-Dome,1996
11525,92.0,Lawnmower Man 2: Beyond Cyberspace,1996
40628,85.0,Two Bits,1995
4482,95.0,French Twist,1995
10634,91.0,Friday,1995
755,108.0,From Dusk Till Dawn,1996
