budget,id,revenue,title,belongs_to_collection_name
30000000.0,862,373554033.0,Toy Story,Toy Story Collection
65000000.0,8844,262797249.0,Jumanji,
0.0,15602,0.0,Grumpier Old Men,Grumpy Old Men Collection
16000000.0,31357,81452156.0,Waiting to Exhale,
0.0,11862,76578911.0,Father of the Bride Part II,Father of the Bride Collection
60000000.0,949,187436818.0,Heat,
58000000.0,11860,0.0,Sabrina,
0.0,45325,0.0,Tom and Huck,
35000000.0,9091,64350171.0,Sudden Death,
58000000.0,710,352194034.0,GoldenEye,James Bond Collection
62000000.0,9087,107879496.0,The American President,
0.0,12110,0.0,Dracula: Dead and Loving It,
0.0,21032,11348324.0,Balto,Balto Collection
44000000.0,10858,13681765.0,Nixon,
98000000.0,1408,10017322.0,Cutthroat Island,
52000000.0,524,116112375.0,Casino,
16500000.0,4584,135000000.0,Sense and Sensibility,
4000000.0,5,4300000.0,Four Rooms,
30000000.0,9273,212385533.0,Ace Ventura: When Nature Calls,Ace Ventura Collection
60000000.0,11517,35431113.0,Money Train,
30250000.0,8012,115101622.0,Get Shorty,Chili Palmer Collection
0.0,1710,0.0,Copycat,
50000000.0,9691,30303072.0,Assassins,
0.0,12665,0.0,Powder,
3600000.0,451,49800000.0,Leaving Las Vegas,
0.0,16420,0.0,Othello,
12000000.0,9263,27400000.0,Now and Then,
0.0,17015,0.0,Persuasion,
18000000.0,902,1738611.0,The City of Lost Children,
0.0,37557,0.0,Shanghai Triad,
0.0,9909,180000000.0,Dangerous Minds,
29500000.0,63,168840000.0,Twelve Monkeys,
0.0,78802,0.0,Wings of Courage,
30000000.0,9598,254134910.0,Babe,Babe Collection
0.0,47018,0.0,Carrington,
11000000.0,687,39363635.0,Dead Man Walking,
0.0,139405,0.0,Across the Sea of Time,
0.0,33689,0.0,It Takes Two,
12000000.0,9603,0.0,Clueless,
0.0,34615,676525.0,"Cry, the Beloved Country",
0.0,31174,0.0,Richard III,
10000000.0,11443,0.0,Dead Presidents,
19000000.0,35196,0.0,Restoration,
18000000.0,9312,122195920.0,Mortal Kombat,Mortal Kombat Collection
20000000.0,577,21284514.0,To Die For,
10000000.0,11861,23574130.0,How To Make An American Quilt,
33000000.0,807,327311859.0,Se7en,
55000000.0,10530,346079773.0,Pocahontas,Pocahontas Collection
0.0,8391,0.0,When Night Is Falling,
6000000.0,629,23341568.0,The Usual Suspects,
0.0,117164,0.0,Guardian Angel,
15000000.0,11448,6700000.0,Mighty Aphrodite,
0.0,49133,0.0,Lamerica,
0.0,26441,0.0,The Big Green,
0.0,97406,0.0,Georgia,
0.0,124057,0.0,Kids of the Round Table,
0.0,9089,17519169.0,Home for the Holidays,
0.0,11010,0.0,The Postman,
0.0,99040,0.0,The Confessional,
45000000.0,11359,0.0,The Indian in the Cupboard,
20000000.0,17182,0.0,Eye for an Eye,
0.0,2054,106269971.0,Mr. Holland's Opus,
0.0,10607,0.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,
0.0,19760,0.0,Two If by Sea,
15000000.0,9536,0.0,Bio-Dome,
0.0,11525,2409225.0,Lawnmower Man 2: Beyond Cyberspace,The Lawnmower Man Collection
0.0,40628,0.0,Two Bits,
0.0,4482,0.0,French Twist,
3500000.0,10634,28215918.0,Friday,Friday Collection
19000000.0,755,25836616.0,From Dusk Till Dawn,From Dusk Till Dawn Collection
50000000.0,11859,11534477.0,Fair Game,
0.0,28387,718490.0,Kicking and Screaming,
0.0,48750,0.0,Les Miserables,
0.0,20927,19030691.0,Bed of Roses,
15000000.0,36929,2042530.0,Big Bully,
20000000.0,9102,5781885.0,Screamers,
0.0,124626,0.0,Nico Icon,
0.0,27526,0.0,The Crossing Guard,
44000000.0,9623,0.0,The Juror,
0.0,46785,0.0,The White Balloon,
8000000.0,400,529766.0,Things to Do in Denver When You're Dead,
900000.0,880,0.0,Antonia's Line,
0.0,146599,0.0,Once Upon a Time... When We Were Colored,
0.0,188588,0.0,Last Summer in the Hamptons,
0.0,8447,0.0,Angels and Insects,
38000000.0,10534,10300000.0,White Squall,
16000000.0,17414,0.0,Dunston Checks In,
0.0,13997,32.0,Black Sheep,
8169363.0,2086,8175346.0,Nick of Time,
0.0,61548,0.0,The Journey of August King,
47000000.0,9095,12379402.0,Mary Reilly,
14000000.0,12158,19800000.0,Vampire in Brooklyn,
0.0,9283,0.0,Beautiful Girls,
50000000.0,9208,150270147.0,Broken Arrow,
0.0,40154,0.0,A Midwinter's Tale,
3000000.0,406,0.0,La Haine,
0.0,45549,0.0,Shopping,
0.0,63076,0.0,Heidi Fleiss: Hollywood Madam,
0.0,11062,0.0,City Hall,
7000000.0,13685,560069.0,Bottle Rocket,
0.0,47475,0.0,Mr. Wrong,
18000000.0,2045,0.0,Unforgettable,
12000000.0,9614,41205099.0,Happy Gilmore,
24000000.0,688,182016617.0,The Bridges of Madison County,
0.0,11907,0.0,Nobody Loves Me,
0.0,10874,34327391.0,Muppet Treasure Island,The Muppet Collection
0.0,89333,0.0,Catwalk,
0.0,96357,0.0,Headless Body in Topless Bar,
72000000.0,197,210000000.0,Braveheart,
