id,spoken_languages,title
862,"[{'iso_639_1': 'en', 'name': 'English'}]",Toy Story
8844,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Jumanji
15602,"[{'iso_639_1': 'en', 'name': 'English'}]",Grumpier Old Men
31357,"[{'iso_639_1': 'en', 'name': 'English'}]",Waiting to Exhale
11862,"[{'iso_639_1': 'en', 'name': 'English'}]",Father of the Bride Part II
949,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Heat
11860,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]",Sabrina
45325,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Tom and Huck
9091,"[{'iso_639_1': 'en', 'name': 'English'}]",Sudden Death
710,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'es', 'name': 'Español'}]",GoldenEye
9087,"[{'iso_639_1': 'en', 'name': 'English'}]",The American President
12110,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Dracula: Dead and Loving It
21032,"[{'iso_639_1': 'en', 'name': 'English'}]",Balto
10858,"[{'iso_639_1': 'en', 'name': 'English'}]",Nixon
1408,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'la', 'name': 'Latin'}]",Cutthroat Island
524,"[{'iso_639_1': 'en', 'name': 'English'}]",Casino
4584,"[{'iso_639_1': 'en', 'name': 'English'}]",Sense and Sensibility
5,"[{'iso_639_1': 'en', 'name': 'English'}]",Four Rooms
9273,"[{'iso_639_1': 'en', 'name': 'English'}]",Ace Ventura: When Nature Calls
11517,"[{'iso_639_1': 'en', 'name': 'English'}]",Money Train
8012,"[{'iso_639_1': 'en', 'name': 'English'}]",Get Shorty
1710,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Copycat
9691,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'nl', 'name': 'Nederlands'}]",Assassins
12665,"[{'iso_639_1': 'en', 'name': 'English'}]",Powder
451,"[{'iso_639_1': 'en', 'name': 'English'}]",Leaving Las Vegas
16420,"[{'iso_639_1': 'en', 'name': 'English'}]",Othello
9263,"[{'iso_639_1': 'en', 'name': 'English'}]",Now and Then
17015,"[{'iso_639_1': 'en', 'name': 'English'}]",Persuasion
