budget,id,revenue,title,return,release_year,director
30000000.0,862,373554033.0,Toy Story,12.4518011,1995,John Lasseter
65000000.0,8844,262797249.0,Jumanji,4.0430346,1995,Joe Johnston
0.0,15602,0.0,Grumpier Old Men,0.0,1995,Howard Deutch
16000000.0,31357,81452156.0,Waiting to Exhale,5.09075975,1995,Forest Whitaker
0.0,11862,76578911.0,Father of the Bride Part II,inf,1995,Charles Shyer
60000000.0,949,187436818.0,Heat,3.123946966666667,1995,Michael Mann
58000000.0,11860,0.0,Sabrina,0.0,1995,Sydney Pollack
0.0,45325,0.0,Tom and Huck,0.0,1995,Peter Hewitt
35000000.0,9091,64350171.0,Sudden Death,1.8385763142857143,1995,Peter Hyams
58000000.0,710,352194034.0,GoldenEye,6.072310931034483,1995,Martin Campbell
62000000.0,9087,107879496.0,The American President,1.739991870967742,1995,Rob Reiner
0.0,12110,0.0,Dracula: Dead and Loving It,0.0,1995,Mel Brooks
0.0,21032,11348324.0,Balto,inf,1995,Simon Wells
44000000.0,10858,13681765.0,Nixon,0.3109492045454545,1995,Oliver Stone
98000000.0,1408,10017322.0,Cutthroat Island,0.1022175714285714,1995,Renny Harlin
52000000.0,524,116112375.0,Casino,2.2329302884615383,1995,Martin Scorsese
16500000.0,4584,135000000.0,Sense and Sensibility,8.181818181818182,1995,Ang Lee
4000000.0,5,4300000.0,Four Rooms,1.075,1995,Allison Anders
30000000.0,9273,212385533.0,Ace Ventura: When Nature Calls,7.079517766666667,1995,Steve Oedekerk
60000000.0,11517,35431113.0,Money Train,0.59051855,1995,Joseph Ruben
30250000.0,8012,115101622.0,Get Shorty,3.805012297520661,1995,Barry Sonnenfeld
0.0,1710,0.0,Copycat,0.0,1995,Jon Amiel
50000000.0,9691,30303072.0,Assassins,0.60606144,1995,Richard Donner
0.0,12665,0.0,Powder,0.0,1995,Victor Salva
3600000.0,451,49800000.0,Leaving Las Vegas,13.833333333333334,1995,Mike Figgis
0.0,16420,0.0,Othello,0.0,1995,Oliver Parker
12000000.0,9263,27400000.0,Now and Then,2.283333333333333,1995,Lesli Linka Glatter
0.0,17015,0.0,Persuasion,0.0,1995,Roger Michell
18000000.0,902,1738611.0,The City of Lost Children,0.0965895,1995,Jean-Pierre Jeunet
0.0,37557,0.0,Shanghai Triad,0.0,1995,Zhang Yimou
0.0,9909,180000000.0,Dangerous Minds,inf,1995,John N. Smith
29500000.0,63,168840000.0,Twelve Monkeys,5.7233898305084745,1995,Terry Gilliam
0.0,78802,0.0,Wings of Courage,0.0,1996,Jean-Jacques Annaud
30000000.0,9598,254134910.0,Babe,8.471163666666667,1995,Chris Noonan
0.0,47018,0.0,Carrington,0.0,1995,Christopher Hampton
11000000.0,687,39363635.0,Dead Man Walking,3.5785122727272727,1995,Tim Robbins
0.0,139405,0.0,Across the Sea of Time,0.0,1995,Stephen Low
0.0,33689,0.0,It Takes Two,0.0,1995,Andy Tennant
12000000.0,9603,0.0,Clueless,0.0,1995,Amy Heckerling
0.0,34615,676525.0,"Cry, the Beloved Country",inf,1995,Darrell James Roodt
0.0,31174,0.0,Richard III,0.0,1995,Richard Loncraine
10000000.0,11443,0.0,Dead Presidents,0.0,1995,Albert Hughes
19000000.0,35196,0.0,Restoration,0.0,1995,Michael Hoffman
18000000.0,9312,122195920.0,Mortal Kombat,6.788662222222222,1995,Paul W.S. Anderson
20000000.0,577,21284514.0,To Die For,1.0642257,1995,Gus Van Sant
10000000.0,11861,23574130.0,How To Make An American Quilt,2.357413,1995,Jocelyn Moorhouse
33000000.0,807,327311859.0,Se7en,9.91854118181818,1995,David Fincher
55000000.0,10530,346079773.0,Pocahontas,6.292359509090909,1995,Mike Gabriel
0.0,8391,0.0,When Night Is Falling,0.0,1995,Patricia Rozema
6000000.0,629,23341568.0,The Usual Suspects,3.890261333333333,1995,Bryan Singer
0.0,117164,0.0,Guardian Angel,0.0,1994,Richard W. Munchkin
15000000.0,11448,6700000.0,Mighty Aphrodite,0.4466666666666666,1995,Woody Allen
0.0,49133,0.0,Lamerica,0.0,1994,Gianni Amelio
0.0,26441,0.0,The Big Green,0.0,1995,Holly Goldberg Sloan
0.0,97406,0.0,Georgia,0.0,1995,Ulu Grosbard
0.0,124057,0.0,Kids of the Round Table,0.0,1997,Robert Tinnell
0.0,9089,17519169.0,Home for the Holidays,inf,1995,Jodie Foster
0.0,11010,0.0,The Postman,0.0,1994,Michael Radford
0.0,99040,0.0,The Confessional,0.0,1995,Robert Lepage
45000000.0,11359,0.0,The Indian in the Cupboard,0.0,1995,Frank Oz
20000000.0,17182,0.0,Eye for an Eye,0.0,1996,John Schlesinger
0.0,2054,106269971.0,Mr. Holland's Opus,inf,1995,Stephen Herek
0.0,10607,0.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0.0,1996,Paris Barclay
0.0,19760,0.0,Two If by Sea,0.0,1996,Bill Bennett
15000000.0,9536,0.0,Bio-Dome,0.0,1996,Jason Bloom
0.0,11525,2409225.0,Lawnmower Man 2: Beyond Cyberspace,inf,1996,Farhad Mann
0.0,40628,0.0,Two Bits,0.0,1995,James Foley
0.0,4482,0.0,French Twist,0.0,1995,Josiane Balasko
3500000.0,10634,28215918.0,Friday,8.061690857142857,1995,F. Gary Gray
